sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,만족도,유형설비,신뢰,감정배려,요구응대,확신
455,5,5,6,4,3,4,5,5,5,7,6,3,3,2,5,5.00 ,4.00 ,5.00 ,6.50 ,2.67 
456,4,3,3,4,5,5,5,3,4,2,3,2,2,2,7,3.33 ,5.00 ,3.50 ,2.50 ,2.00 
457,4,9,8,9,4,3,4,8,9,7,6,3,3,2,6,8.67 ,3.67 ,8.50 ,6.50 ,2.67 
458,3,9,10,9,4,4,4,8,7,8,8,3,2,2,5,9.33 ,4.00 ,7.50 ,8.00 ,2.33 
459,1,8,9,9,4,3,4,8,8,3,3,4,3,2,7,8.67 ,3.67 ,8.00 ,3.00 ,3.00 
460,5,6,5,6,2,3,4,8,7,7,7,3,2,2,6,5.67 ,3.00 ,7.50 ,7.00 ,2.33 
461,4,4,5,5,4,4,4,2,2,2,3,2,3,2,6,4.67 ,4.00 ,2.00 ,2.50 ,2.33 
462,4,8,8,7,2,3,3,6,5,6,5,3,3,2,2,7.67 ,2.67 ,5.50 ,5.50 ,2.67 
463,3,6,6,6,4,4,3,6,6,2,2,2,3,2,6,6.00 ,3.67 ,6.00 ,2.00 ,2.33 
464,4,3,2,2,3,4,3,4,3,4,3,2,3,2,1,2.33 ,3.33 ,3.50 ,3.50 ,2.33 
465,5,6,6,6,4,3,3,4,5,6,5,3,2,2,7,6.00 ,3.33 ,4.50 ,5.50 ,2.33 
466,1,4,4,5,4,4,3,8,7,9,8,2,2,2,7,4.33 ,3.67 ,7.50 ,8.50 ,2.00 
467,2,4,5,5,3,2,2,4,4,5,4,2,1,2,0,4.67 ,2.33 ,4.00 ,4.50 ,1.67 
468,2,9,9,9,2,3,2,9,10,7,8,2,1,2,5,9.00 ,2.33 ,9.50 ,7.50 ,1.67 
469,4,5,6,4,2,3,2,6,7,6,6,2,1,2,4,5.00 ,2.33 ,6.50 ,6.00 ,1.67 
470,1,8,9,8,2,1,2,9,10,5,4,3,2,2,2,8.33 ,1.67 ,9.50 ,4.50 ,2.33 
471,4,9,10,10,9,10,10,5,4,9,8,2,1,1,8,9.67 ,9.67 ,4.50 ,8.50 ,1.33 
472,5,6,6,7,9,10,9,2,2,7,8,2,2,1,9,6.33 ,9.33 ,2.00 ,7.50 ,1.67 
473,2,8,9,9,9,9,9,8,6,5,5,3,2,1,7,8.67 ,9.00 ,7.00 ,5.00 ,2.00 
474,5,6,5,7,9,10,9,4,5,4,5,2,1,1,7,6.00 ,9.33 ,4.50 ,4.50 ,1.33 
475,5,4,4,4,8,9,8,5,5,7,6,2,1,1,7,4.00 ,8.33 ,5.00 ,6.50 ,1.33 
476,5,4,3,4,7,8,7,5,4,7,8,3,2,1,5,3.67 ,7.33 ,4.50 ,7.50 ,2.00 
477,4,4,5,3,7,7,7,3,2,2,2,2,2,1,5,4.00 ,7.00 ,2.50 ,2.00 ,1.67 
478,2,5,5,5,8,7,7,7,8,9,10,2,2,1,8,5.00 ,7.33 ,7.50 ,9.50 ,1.67 
479,5,8,8,9,5,6,7,9,10,4,3,3,2,1,7,8.33 ,6.00 ,9.50 ,3.50 ,2.00 
480,5,6,5,6,5,6,7,8,7,6,5,2,1,1,7,5.67 ,6.00 ,7.50 ,5.50 ,1.33 
481,4,5,4,4,7,6,6,3,3,8,7,2,2,1,6,4.33 ,6.33 ,3.00 ,7.50 ,1.67 
482,3,8,9,7,6,7,6,8,9,9,9,2,2,1,7,8.00 ,6.33 ,8.50 ,9.00 ,1.67 
483,1,3,4,4,7,7,6,5,4,2,2,2,1,1,4,3.67 ,6.67 ,4.50 ,2.00 ,1.33 
484,4,7,8,8,7,6,5,9,9,2,1,2,1,1,8,7.67 ,6.00 ,9.00 ,1.50 ,1.33 
485,4,9,10,10,4,5,5,4,4,2,2,3,2,1,7,9.67 ,4.67 ,4.00 ,2.00 ,2.00 
486,4,5,6,6,5,5,5,5,4,6,6,2,2,1,6,5.67 ,5.00 ,4.50 ,6.00 ,1.67 
487,4,9,8,10,2,3,4,5,4,6,6,2,1,1,5,9.00 ,3.00 ,4.50 ,6.00 ,1.33 
488,2,9,8,9,5,4,4,6,5,9,8,2,1,1,6,8.67 ,4.33 ,5.50 ,8.50 ,1.33 
489,1,3,2,2,4,4,4,2,3,3,4,2,2,1,5,2.33 ,4.00 ,2.50 ,3.50 ,1.67 
490,2,3,3,4,2,2,3,6,7,9,8,2,2,1,4,3.33 ,2.33 ,6.50 ,8.50 ,1.67 
491,1,9,8,8,3,2,3,3,3,2,2,2,1,1,1,8.33 ,2.67 ,3.00 ,2.00 ,1.33 
492,4,5,6,5,5,4,3,9,10,8,8,2,2,1,3,5.33 ,4.00 ,9.50 ,8.00 ,1.67 
493,2,5,6,4,5,4,3,8,9,8,7,3,2,1,7,5.00 ,4.00 ,8.50 ,7.50 ,2.00 
494,2,3,2,4,2,1,2,8,9,6,7,2,1,1,5,3.00 ,1.67 ,8.50 ,6.50 ,1.33 
495,1,2,3,1,3,2,2,3,3,3,3,2,1,1,0,2.00 ,2.33 ,3.00 ,3.00 ,1.33 
496,1,8,9,8,8,9,9,9,8,7,7,2,1,0,7,8.33 ,8.67 ,8.50 ,7.00 ,1.00 
497,5,2,3,3,6,7,8,5,6,2,2,2,1,0,7,2.67 ,7.00 ,5.50 ,2.00 ,1.00 
498,3,8,7,9,7,6,5,8,8,8,8,2,1,0,3,8.00 ,6.00 ,8.00 ,8.00 ,1.00 
499,1,9,8,10,4,4,4,6,7,3,4,2,1,0,6,9.00 ,4.00 ,6.50 ,3.50 ,1.00 
500,1,4,5,4,5,4,3,6,7,6,6,2,1,0,5,4.33 ,4.00 ,6.50 ,6.00 ,1.00 
